pickup_hour,trips,avg_duration_min,avg_distance_mi,avg_fare
0,69124,13.61,3.88,19.7
1,45335,12.48,3.25,17.35
2,31909,11.91,3.02,16.35
3,20527,11.97,3.45,17.87
4,12771,13.78,4.79,22.98
5,15625,16.55,6.21,27.58
6,35562,15.77,4.72,21.98
7,74279,14.9,3.53,18.52
8,105089,15.05,3.06,17.59
9,119332,15.05,3.04,17.85
10,129968,15.21,3.04,18.01
11,141194,15.09,2.98,17.59
12,153543,15.09,2.98,17.77
13,158963,15.45,3.16,18.38
14,171145,16.42,3.42,19.23
15,176852,16.72,3.27,19.07
16,178291,16.87,3.4,19.43
17,191141,15.85,3.07,18.06
18,195815,14.3,2.86,16.95
19,170491,13.75,3.17,17.63
20,149187,13.45,3.37,18.07
21,148321,13.47,3.47,18.36
22,130466,13.82,3.69,19.16
23,97287,14.14,4.07,20.38
