pickup_hour,trips,avg_duration_min,avg_distance_mi,avg_fare
0,383,9.86,2.98,11.7
1,247,9.97,3.02,11.83
2,168,10.03,3.09,11.95
3,203,9.99,2.95,11.43
4,274,9.62,2.78,11.12
5,529,9.73,2.87,11.46
6,978,12.07,2.87,12.26
7,2245,18.81,2.98,14.73
8,2736,18.48,2.95,14.66
9,2117,18.47,2.92,14.65
10,1733,18.91,3.04,14.98
11,1880,12.51,2.98,12.58
12,2141,12.35,2.95,12.49
13,1941,12.23,2.93,12.41
14,1896,12.09,2.89,12.32
15,2258,12.36,2.94,12.47
16,3010,20.77,2.9,15.32
17,3049,21.53,3.01,15.74
18,2713,21.22,2.95,15.61
19,2252,20.96,2.93,15.46
20,2060,12.4,2.95,12.48
21,1885,12.41,2.97,12.55
22,1600,12.11,2.91,12.34
23,902,12.46,2.97,12.6
