pu_borough,pu_zone,trips,avg_duration_min,avg_fare
Queens,JFK Airport,136822,37.1,62.84
Manhattan,Upper East Side South,135413,10.98,12.3
Manhattan,Midtown Center,134903,13.88,15.44
Manhattan,Upper East Side North,128037,11.14,12.72
Manhattan,Midtown East,101204,13.35,15.02
Manhattan,Penn Station/Madison Sq West,99403,15.17,16.06
Manhattan,Times Sq/Theatre District,98897,15.05,17.82
Manhattan,Lincoln Square East,97544,11.69,13.5
Queens,LaGuardia Airport,86533,27.15,42.34
Manhattan,Upper West Side South,81303,11.41,13.35
