VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2024-01-16 17:31:18,2024-01-16 17:37:13.317668,2,0.41,236,100,1,3.08,0.62,0.0,1.0,4.7
1,2024-01-19 08:32:32,2024-01-19 08:36:00.981448,1,0.82,138,43,1,6.22,0.24,0.0,1.0,7.46
2,2024-01-16 17:17:40,2024-01-16 17:37:36.090109,6,2.51,114,41,1,15.64,1.59,0.0,1.0,18.23
2,2024-01-23 17:39:41,2024-01-23 17:52:11.344994,4,1.13,186,4,2,8.61,0.0,0.0,1.0,9.61
1,2024-01-13 14:51:54,2024-01-13 14:59:08.218910,4,1.81,41,82,1,5.93,0.11,0.0,1.0,7.03
1,2024-01-29 22:25:23,2024-01-29 22:36:39.800726,1,2.61,82,186,1,11.48,1.1,0.0,1.0,13.57
2,2024-01-22 10:14:49,2024-01-22 10:36:53.842718,1,3.67,236,107,1,16.07,0.65,0.0,1.0,17.72
1,2024-01-02 16:31:17,2024-01-02 17:05:01.117504,1,5.29,237,161,2,22.27,0.0,11.8,1.0,35.07
1,2024-01-06 08:01:22,2024-01-06 08:27:51.322775,5,3.85,43,170,1,20.31,1.67,0.0,1.0,22.98
1,2024-01-10 12:53:25,2024-01-10 13:03:33.883685,4,2.26,138,50,1,10.8,3.19,0.0,1.0,14.99
1,2024-01-06 10:58:27,2024-01-06 11:05:29.390185,6,1.43,113,100,1,6.67,0.66,0.0,1.0,8.33
1,2024-01-25 17:53:30,2024-01-25 18:46:36.749286,6,8.26,256,161,1,36.6,4.68,4.78,1.0,47.06
1,2024-01-01 18:09:41,2024-01-01 18:37:46.767343,5,3.86,186,162,2,19.08,0.0,0.0,1.0,20.08
2,2024-01-25 20:09:06,2024-01-25 20:16:19.376041,6,1.45,162,43,1,7.39,1.86,0.0,1.0,10.25
2,2024-01-12 09:02:46,2024-01-12 09:44:50.651060,2,7.47,138,114,1,29.23,6.73,0.0,1.0,36.96
2,2024-01-18 17:50:33,2024-01-18 18:05:59.112817,1,1.92,68,163,1,10.09,2.3,0.0,1.0,13.39
1,2024-01-07 15:03:51,2024-01-07 15:17:55.854535,4,3.9,161,140,1,12.71,3.57,0.0,1.0,17.28
1,2024-01-02 15:02:55,2024-01-02 15:14:34.724281,3,3.16,24,48,1,14.1,2.89,3.11,1.0,21.1
2,2024-01-31 09:52:11,2024-01-31 10:00:43.107836,1,1.78,162,161,1,8.12,1.04,0.0,1.0,10.15
2,2024-01-19 17:45:58,2024-01-19 17:49:29.035946,2,0.52,170,113,1,6.52,0.71,0.0,1.0,8.23
1,2024-01-17 16:20:12,2024-01-17 16:31:07.905552,2,1.53,236,50,2,10.96,0.0,0.0,1.0,11.96
2,2024-01-26 21:27:32,2024-01-26 21:53:00.978001,1,6.37,113,158,1,20.53,5.98,0.0,1.0,27.5
